agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,seconds
producer,enders_1000,20001,1,a,1,-1,DONE,DONE,6.7
producer,tamrazov_1224,20000,0,a,1,-1,DONE,DONE,19.4
producer,enders_1000,20000,0,a,1,-1,DONE,DONE,11.0
producer,ow_proto,20001,1,a,1,-1,DONE,DONE,11.4
producer,ow_proto,20000,0,a,1,-1,DONE,DONE,11.3
producer,shot_validator_hybrid,20001,1,a,1,-1,DONE,DONE,32.9
producer,distance_1100,20000,0,a,1,-1,DONE,DONE,36.0
producer,reinforce_958,20001,1,a,1,-1,DONE,DONE,20.9
producer,tamrazov_1224,20001,1,a,1,-1,DONE,DONE,34.7
producer,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,19.3
producer,distance_1100,20001,1,a,1,-1,DONE,DONE,36.9
producer,reinforce_958,20000,0,a,1,-1,DONE,DONE,34.9
producer,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,17.1
producer,exit_v2_exit_embed256_last,20000,0,a,1,-1,DONE,DONE,26.4
producer,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,30.6
producer,shot_validator_hybrid,20000,0,a,1,-1,DONE,DONE,78.9
tamrazov_1224,shot_validator_hybrid,20001,1,b,-1,1,DONE,DONE,44.5
producer,apex,20000,0,a,1,-1,DONE,DONE,94.9
tamrazov_1224,shot_validator_hybrid,20000,0,b,-1,1,DONE,DONE,77.6
producer,apex,20001,1,a,1,-1,DONE,DONE,101.0
tamrazov_1224,ow_proto,20000,0,a,1,-1,DONE,DONE,72.5
tamrazov_1224,enders_1000,20000,0,b,-1,1,DONE,DONE,99.4
tamrazov_1224,enders_1000,20001,1,a,1,-1,DONE,DONE,84.6
tamrazov_1224,ow_proto,20001,1,b,-1,1,DONE,DONE,76.9
tamrazov_1224,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,51.5
tamrazov_1224,distance_1100,20001,1,a,1,-1,DONE,DONE,170.7
tamrazov_1224,reinforce_958,20001,1,a,1,-1,DONE,DONE,107.6
tamrazov_1224,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,92.1
distance_1100,enders_1000,20000,0,b,-1,1,DONE,DONE,70.8
tamrazov_1224,apex,20000,0,a,1,-1,DONE,DONE,180.3
distance_1100,shot_validator_hybrid,20000,0,b,-1,1,DONE,DONE,76.1
tamrazov_1224,reinforce_958,20000,0,b,-1,1,DONE,DONE,239.6
distance_1100,enders_1000,20001,1,b,-1,1,DONE,DONE,112.7
distance_1100,ow_proto,20000,0,b,-1,1,DONE,DONE,97.8
distance_1100,reinforce_958,20000,0,b,-1,1,DONE,DONE,141.7
distance_1100,ow_proto,20001,1,b,-1,1,DONE,DONE,166.4
distance_1100,apex,20001,1,a,1,-1,DONE,DONE,68.6
distance_1100,apex,20000,0,b,-1,1,DONE,DONE,141.0
distance_1100,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,45.6
distance_1100,exit_v2_exit_a100_000020,20000,0,b,-1,1,DONE,DONE,147.7
tamrazov_1224,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,543.2
distance_1100,reinforce_958,20001,1,a,1,-1,DONE,DONE,352.1
tamrazov_1224,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,548.8
shot_validator_hybrid,ow_proto,20000,0,b,-1,1,DONE,DONE,96.7
tamrazov_1224,distance_1100,20000,0,b,-1,1,DONE,DONE,787.8
shot_validator_hybrid,ow_proto,20001,1,b,-1,1,DONE,DONE,128.2
shot_validator_hybrid,enders_1000,20001,1,b,-1,1,DONE,DONE,245.2
tamrazov_1224,apex,20001,1,a,1,-1,DONE,DONE,750.4
shot_validator_hybrid,apex,20000,0,b,-1,1,DONE,DONE,99.5
shot_validator_hybrid,enders_1000,20000,0,a,1,-1,DONE,DONE,415.6
distance_1100,shot_validator_hybrid,20001,1,a,1,-1,DONE,DONE,753.0
distance_1100,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,503.8
enders_1000,ow_proto,20001,1,b,-1,1,DONE,DONE,7.0
distance_1100,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,464.7
enders_1000,reinforce_958,20000,0,a,1,-1,DONE,DONE,13.4
enders_1000,ow_proto,20000,0,b,-1,1,DONE,DONE,17.0
shot_validator_hybrid,exit_v2_exit_a100_000020,20000,0,b,-1,1,DONE,DONE,174.5
enders_1000,reinforce_958,20001,1,a,1,-1,DONE,DONE,25.3
enders_1000,exit_v2_exit_a100_000020,20000,0,b,-1,1,DONE,DONE,13.2
enders_1000,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,20.7
enders_1000,exit_v2_exit_embed256_last,20000,0,a,1,-1,DONE,DONE,33.0
enders_1000,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,21.6
ow_proto,reinforce_958,20001,1,a,1,-1,DONE,DONE,38.8
ow_proto,reinforce_958,20000,0,a,1,-1,DONE,DONE,52.0
shot_validator_hybrid,reinforce_958,20000,0,a,1,-1,DONE,DONE,436.8
shot_validator_hybrid,reinforce_958,20001,1,b,-1,1,DONE,DONE,348.4
ow_proto,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,52.5
ow_proto,exit_v2_exit_embed256_last,20000,0,a,1,-1,DONE,DONE,66.1
ow_proto,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,114.8
shot_validator_hybrid,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,445.0
enders_1000,apex,20001,1,a,1,-1,DONE,DONE,362.0
ow_proto,apex,20000,0,a,1,-1,DONE,DONE,249.8
enders_1000,apex,20000,0,b,-1,1,DONE,DONE,392.5
shot_validator_hybrid,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,475.1
reinforce_958,apex,20000,0,a,1,-1,DONE,DONE,121.2
reinforce_958,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,47.3
reinforce_958,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,89.5
shot_validator_hybrid,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,535.2
ow_proto,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,199.6
reinforce_958,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,97.4
apex,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,90.5
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,31.1
reinforce_958,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,192.2
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,114.8
ow_proto,apex,20001,1,a,1,-1,DONE,DONE,492.5
reinforce_958,apex,20001,1,b,-1,1,DONE,DONE,327.0
apex,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,229.5
shot_validator_hybrid,apex,20001,1,a,1,-1,DONE,DONE,855.7
apex,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,296.4
apex,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,316.4
